Date,Confirmed,Deaths
31-12-2019,0,0
01-01-2020,0,0
02-01-2020,0,0
03-01-2020,0,0
04-01-2020,0,0
05-01-2020,0,0
06-01-2020,0,0
07-01-2020,0,0
08-01-2020,0,0
09-01-2020,0,0
10-01-2020,0,0
11-01-2020,0,0
12-01-2020,0,0
13-01-2020,0,0
14-01-2020,0,0
15-01-2020,0,0
16-01-2020,0,0
17-01-2020,0,0
18-01-2020,0,0
19-01-2020,0,0
20-01-2020,0,0
21-01-2020,0,0
22-01-2020,0,0
23-01-2020,0,0
24-01-2020,0,0
25-01-2020,0,0
26-01-2020,0,0
27-01-2020,0,0
28-01-2020,0,0
29-01-2020,0,0
30-01-2020,0,0
31-01-2020,0,0
01-02-2020,0,0
02-02-2020,0,0
03-02-2020,0,0
04-02-2020,0,0
05-02-2020,0,0
06-02-2020,0,0
07-02-2020,0,0
08-02-2020,0,0
09-02-2020,0,0
10-02-2020,0,0
11-02-2020,0,0
12-02-2020,0,0
13-02-2020,0,0
14-02-2020,0,0
15-02-2020,0,0
16-02-2020,0,0
17-02-2020,0,0
18-02-2020,0,0
19-02-2020,0,0
20-02-2020,0,0
21-02-2020,0,0
22-02-2020,0,0
23-02-2020,0,0
24-02-2020,0,0
25-02-2020,0,0
26-02-2020,0,0
27-02-2020,0,0
28-02-2020,0,0
29-02-2020,0,0
01-03-2020,0,0
02-03-2020,3,0
03-03-2020,5,0
04-03-2020,5,0
05-03-2020,8,0
06-03-2020,12,0
07-03-2020,19,0
08-03-2020,26,0
09-03-2020,32,0
10-03-2020,40,0
11-03-2020,63,0
12-03-2020,94,0
13-03-2020,116,0
14-03-2020,150,0
15-03-2020,214,0
16-03-2020,298,0
17-03-2020,344,0
18-03-2020,434,0
19-03-2020,522,0
20-03-2020,694,0
21-03-2020,904,0
22-03-2020,995,0
23-03-2020,1165,1
24-03-2020,1236,1
25-03-2020,1394,3
26-03-2020,1654,6
27-03-2020,2062,9
28-03-2020,2279,9
29-03-2020,2663,11
30-03-2020,2829,16
31-03-2020,3002,24
01-04-2020,3308,31
02-04-2020,3589,39
03-04-2020,3858,44
04-04-2020,4190,53
05-04-2020,4472,59
06-04-2020,4587,67
07-04-2020,4822,78
08-04-2020,5017,88
09-04-2020,5312,99
10-04-2020,5569,112
11-04-2020,5732,119
12-04-2020,5902,129
13-04-2020,5991,138
14-04-2020,6059,143
15-04-2020,6141,161
16-04-2020,6303,166
17-04-2020,6433,169
18-04-2020,6549,173
19-04-2020,6654,181
20-04-2020,6787,188
21-04-2020,6914,196
22-04-2020,7041,201
23-04-2020,7136,210
24-04-2020,7188,213
25-04-2020,7273,215
26-04-2020,7352,218
27-04-2020,7404,221
28-04-2020,7449,223
29-04-2020,7504,227
30-04-2020,7579,227
01-05-2020,7682,236
02-05-2020,7737,240
03-05-2020,7755,245
04-05-2020,7781,248
05-05-2020,7819,252
06-05-2020,7896,257
07-05-2020,7974,262
08-05-2020,8031,270
09-05-2020,8077,273
10-05-2020,8095,276
11-05-2020,8123,280
12-05-2020,8176,282
13-05-2020,8221,283
14-05-2020,8269,290
