date,positive,death,recovered
22-01-2020,1,0,0
23-01-2020,1,0,0
24-01-2020,1,0,0
25-01-2020,1,0,0
26-01-2020,1,0,0
27-01-2020,1,0,0
28-01-2020,1,0,0
29-01-2020,1,0,0
30-01-2020,1,0,0
31-01-2020,1,0,0
01-02-2020,1,0,0
02-02-2020,1,0,0
03-02-2020,1,0,0
04-02-2020,1,0,0
05-02-2020,1,0,0
06-02-2020,1,0,0
07-02-2020,2,0,0
08-02-2020,2,0,0
09-02-2020,2,0,0
10-02-2020,2,0,0
11-02-2020,2,0,0
12-02-2020,2,0,0
13-02-2020,2,0,0
14-02-2020,2,0,0
15-02-2020,2,0,0
16-02-2020,2,0,0
17-02-2020,2,0,0
18-02-2020,2,0,0
19-02-2020,2,0,0
20-02-2020,2,0,0
21-02-2020,2,0,0
22-02-2020,2,0,0
23-02-2020,2,0,0
24-02-2020,2,0,0
25-02-2020,2,0,0
26-02-2020,2,2,0
27-02-2020,2,2,0
28-02-2020,9,4,0
29-02-2020,18,5,0
01-03-2020,40,8,0
02-03-2020,53,11,0
03-03-2020,94,14,0
04-03-2020,207,16,0
05-03-2020,275,20,0
06-03-2020,387,26,0
07-03-2020,538,27,0
08-03-2020,721,31,0
09-03-2020,1013,35,0
10-03-2020,1280,37,0
11-03-2020,1672,43,0
12-03-2020,2142,51,0
13-03-2020,3004,55,0
14-03-2020,3741,63,0
15-03-2020,4842,77,0
16-03-2020,6131,98,0
17-03-2020,8254,120,0
18-03-2020,10865,145,0
19-03-2020,15063,189,0
20-03-2020,20834,253,0
21-03-2020,27367,306,0
22-03-2020,36334,437,0
23-03-2020,47013,521,0
24-03-2020,57179,725,0
25-03-2020,69473,953,97
26-03-2020,86789,1231,147
27-03-2020,105462,1604,2422
28-03-2020,124815,2038,3148
29-03-2020,144297,2527,4061
30-03-2020,165521,3060,4560
31-03-2020,189998,3877,5666
01-04-2020,215177,4823,7084
02-04-2020,243235,5924,8586
03-04-2020,275234,7112,10861
04-04-2020,308752,8487,12840
05-04-2020,334718,9714,14542
06-04-2020,363465,10937,16584
07-04-2020,393874,12841,18477
08-04-2020,424045,14737,21141
09-04-2020,458260,16659,24869
10-04-2020,492848,18751,29054
11-04-2020,523893,20686,31631
12-04-2020,551906,22237,34151
13-04-2020,576875,23754,35442
14-04-2020,602795,26066,39347
15-04-2020,633112,28628,43522
16-04-2020,664129,30789,48945
17-04-2020,696010,32854,53644
18-04-2020,724047,34641,62961
19-04-2020,751646,36300,67339
20-04-2020,776830,37999,69636
21-04-2020,802772,40554,73002
22-04-2020,831374,42595,93157
23-04-2020,863123,44409,97121
24-04-2020,897319,46251,101517
25-04-2020,933310,48069,112783
26-04-2020,960343,49164,116801
27-04-2020,981134,50354,121609
28-04-2020,1006137,52482,139342
29-04-2020,1033157,55182,147484
30-04-2020,1062503,57320,154991
01-05-2020,1095681,59059,164015
02-05-2020,1125719,60710,175382
03-05-2020,1152006,61868,180152
04-05-2020,1173453,62780,187180
05-05-2020,1195605,65307,189791
06-05-2020,1220557,67256,189910
07-05-2020,1248137,70002,195036
08-05-2020,1275916,71762,198993
09-05-2020,1301095,73291,212534
10-05-2020,1322807,74270,216169
11-05-2020,1340412,75107,230287
12-05-2020,1360705,76617,232733
